Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Indo-Pacific,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169,2.9269721465058906e-11
Southern Ocean,0.012048192771084338,0.0,0.012048192771084338,0.0,0.07672198226869742,0.003362967143948032
Iceland,0.0,0.030120481927710843,0.030120481927710843,0.0,0.0,2.439143455421576e-12
Alaska,0.030120481927710843,0.0,0.030120481927710843,0.0,0.09917719659124301,0.04850413534125104
Arctic Ocean,0.012048192771084338,0.0,0.012048192771084338,0.0,0.11959603118355774,0.06977774675708596
Bahrain,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Lebanon,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Libya,0.012048192771084338,0.0,0.012048192771084338,0.0,0.11729610750695088,0.05205829587183657
Syria,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Malta,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
England,0.012048192771084338,0.0,0.012048192771084338,0.0,0.11959603118355774,0.04254249605215473
California,0.006024096385542169,0.0,0.006024096385542169,0.0,0.08471385542168675,0.005947667921727384
Arab countries,0.012048192771084338,0.0,0.012048192771084338,0.0,0.11729610750695088,0.05205829587183657
Sierra Leone,0.04819277108433735,0.0,0.04819277108433735,0.0,0.13405269429365815,0.12482243343932593
North Africa,0.006024096385542169,0.0,0.006024096385542169,0.0,0.08651627787746731,0.010344723336694683
MENA,0.006024096385542169,0.0,0.006024096385542169,0.0,0.08651627787746731,0.010344723336694683
Algeria,0.006024096385542169,0.0,0.006024096385542169,0.0,0.08651627787746731,0.010344723336694683
Tunisia,0.006024096385542169,0.0,0.006024096385542169,0.0,0.08651627787746731,0.010344723336694683
Arizona,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Romania,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Bulgaria,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Yugoslavia,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Bosnia and Herzegovina,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Montenegro,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Serbia,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
Kosovo,0.006024096385542169,0.0,0.006024096385542169,0.0,0.11617900172117038,0.04171357253758104
